Pageviews per User,Pageviews per Session,Facebook.com,Number of Records,Date,Device Category,Entrances,Social Source Referral,Landing Page,New Users,Organic Searches,Pageviews,% New Sessions,Number of Sessions per User,Sessions,Shared URL,Social Network,Source,Time on Page,Unique Pageviews,Users
20,6,3,1,15/03/2017,desktop,3,No,/,1,0,20,0.333333313,3,3,foxautos.co.nz/,,(direct),3681,11,1
33,33,3,1,15/03/2017,desktop,1,No,/?customize_changeset_uuid=22902563-64c6-4ea1-9dad-b0ac29c83fbe&customize_theme=Divi&customize_messenger_channel=preview-0,0,0,33,0,1,1,foxautos.co.nz/?customize_changeset_uuid=22902563-64c6-4ea1-9dad-b0ac29c83fbe&customize_messenger_channel=preview-0&customize_theme=Divi,,(direct),991,31,1
7,7,3,1,15/03/2017,desktop,1,No,/?customize_changeset_uuid=c574421c-949d-4af8-b7ba-6d164456cf13&customize_theme=Divi&customize_messenger_channel=preview-0,1,0,7,1,1,1,foxautos.co.nz/?customize_changeset_uuid=c574421c-949d-4af8-b7ba-6d164456cf13&customize_messenger_channel=preview-0&customize_theme=Divi,,(direct),870,6,1
32,32,3,1,16/03/2017,desktop,1,No,/?customize_changeset_uuid=85c3338f-c0c9-495c-b5ca-721b665119e2&customize_theme=motors&customize_messenger_channel=preview-0,0,0,32,0,1,1,foxautos.co.nz/?customize_changeset_uuid=85c3338f-c0c9-495c-b5ca-721b665119e2&customize_messenger_channel=preview-0&customize_theme=motors,,(direct),1077,31,1
37,37,3,1,16/03/2017,desktop,1,No,/?customize_changeset_uuid=95f1e03e-96ef-4ca9-b1d6-4cb41e430926&customize_theme=motors&customize_messenger_channel=preview-0,0,0,37,0,1,1,foxautos.co.nz/?customize_changeset_uuid=95f1e03e-96ef-4ca9-b1d6-4cb41e430926&customize_messenger_channel=preview-0&customize_theme=motors,,(direct),830,35,1
3,3,3,1,16/03/2017,mobile,1,No,/,1,0,3,1,1,1,foxautos.co.nz/,,(direct),41,1,1
30,30,3,1,16/03/2017,desktop,1,Yes,/,0,0,30,0,1,1,foxautos.co.nz/,Facebook,facebook.com,3620,27,1
5,5,3,1,16/03/2017,desktop,1,Yes,/?vc_editable=true&vc_post_id=68&_vcnonce=afb799d14f,0,0,5,0,1,1,foxautos.co.nz/?_vcnonce=afb799d14f&vc_editable=true&vc_post_id=68,Facebook,facebook.com,2985,4,1
1,1,3,1,17/03/2017,desktop,1,No,/,0,0,1,0,1,1,foxautos.co.nz/,,(direct),0,1,1
4,4,3,1,17/03/2017,desktop,1,Yes,/?vc_editable=true&vc_post_id=68&_vcnonce=56d904c8ef,0,0,4,0,1,1,foxautos.co.nz/?_vcnonce=56d904c8ef&vc_editable=true&vc_post_id=68,Facebook,facebook.com,277,2,1
1,1,3,1,18/03/2017,desktop,1,No,/,1,0,1,1,1,1,foxautos.co.nz/,,(direct),0,1,1
7,2,3,1,18/03/2017,desktop,3,Yes,/,0,0,7,0,3,3,foxautos.co.nz/,Facebook,facebook.com,269,5,1
4,4,3,1,19/03/2017,desktop,1,No,/,1,0,4,1,1,1,foxautos.co.nz/,,(direct),94,3,1
3,3,3,1,19/03/2017,desktop,1,No,/about-us-2/,0,0,3,0,1,1,foxautos.co.nz/about-us-2/,,(direct),75,3,1
177,44,3,1,19/03/2017,desktop,4,Yes,/,0,0,177,0,4,4,foxautos.co.nz/,Facebook,facebook.com,23095,85,1
40,40,3,1,19/03/2017,desktop,1,Yes,/?customize_changeset_uuid=0cb0ee0a-bced-4736-b070-34a4de53aea0&customize_theme=motors&customize_messenger_channel=preview-0,0,0,40,0,1,1,foxautos.co.nz/?customize_changeset_uuid=0cb0ee0a-bced-4736-b070-34a4de53aea0&customize_messenger_channel=preview-0&customize_theme=motors,Facebook,facebook.com,4433,16,1
29,19,3,1,20/03/2017,desktop,3,No,/,1,0,59,0.333333313,1.5,3,foxautos.co.nz/,,(direct),9348,33,2
5,5,3,1,20/03/2017,mobile,1,No,/,0,0,5,0,1,1,foxautos.co.nz/,,(direct),298,3,1
32,16,3,1,20/03/2017,desktop,2,Yes,/,0,0,32,0,2,2,foxautos.co.nz/,Facebook,facebook.com,4206,28,1
12,12,3,1,20/03/2017,desktop,1,Yes,/import-me-a-special-car-within-my-budget/,0,0,12,0,1,1,foxautos.co.nz/import-me-a-special-car-within-my-budget/,Facebook,facebook.com,2525,7,1
2,2,3,1,21/03/2017,desktop,1,Yes,/,0,0,2,0,1,1,foxautos.co.nz/,Facebook,facebook.com,18,2,1
8,8,3,1,23/03/2017,desktop,1,No,/,0,0,8,0,1,1,foxautos.co.nz/,,(direct),1257,6,1
5,5,3,1,24/03/2017,desktop,1,No,/,1,0,5,1,1,1,foxautos.co.nz/,,(direct),832,3,1
7,2,3,1,24/03/2017,desktop,3,Yes,/,0,0,7,0,3,3,foxautos.co.nz/,Facebook,facebook.com,139,6,1
4,4,3,1,25/03/2017,desktop,2,No,/,1,0,8,0.5,1,2,foxautos.co.nz/,,(direct),1081,7,2
11,7,3,1,25/03/2017,mobile,3,No,/,1,0,23,0.333333313,1.5,3,foxautos.co.nz/,,(direct),1815,13,2
1,1,3,1,25/03/2017,mobile,1,No,/listings/fox102-1/,0,0,1,0,1,1,foxautos.co.nz/listings/fox102-1/,,(direct),0,1,1
32,16,3,1,25/03/2017,desktop,2,Yes,/,0,0,32,0,2,2,foxautos.co.nz/,Facebook,facebook.com,7003,16,1
30,15,3,1,25/03/2017,desktop,2,Yes,/listings/fox102-1/,0,0,30,0,2,2,foxautos.co.nz/listings/fox102-1/,Facebook,facebook.com,4013,14,1
13,13,3,1,25/03/2017,desktop,1,Yes,/listings/fox102/?preview_id=1585&preview_nonce=e976326f55&_thumbnail_id=-1&preview=true,0,0,13,0,1,1,foxautos.co.nz/listings/fox102/?_thumbnail_id=-1&preview=true&preview_id=1585&preview_nonce=e976326f55,Facebook,facebook.com,1430,7,1
1,1,3,1,25/03/2017,mobile,1,Yes,/2018-toyota-yaris-is-the-game-changer-2/,1,0,1,1,1,1,foxautos.co.nz/2018-toyota-yaris-is-the-game-changer-2/,Facebook,m.facebook.com,0,1,1
3,3,3,1,26/03/2017,mobile,6,No,/,4,0,18,0.666666627,1.200000048,6,foxautos.co.nz/,,(direct),446,13,5
1,1,3,1,26/03/2017,mobile,3,No,/listings/fox101/,3,0,3,1,1,3,foxautos.co.nz/listings/fox101/,,(direct),0,3,3
16,16,3,1,26/03/2017,mobile,1,No,/,1,1,16,1,1,1,foxautos.co.nz/,,google,487,8,1
35,10,3,1,26/03/2017,desktop,7,Yes,/,1,0,71,0.142857134,3.5,7,foxautos.co.nz/,Facebook,facebook.com,11480,35,2
